# net         layer  x1       y1       x2       y2       width

GND          M1    0.310    37.701   0.621    37.701   0.050
GND          M1    0.621    37.701   44.683   37.701   0.050
GND          M2    44.683   37.701   44.683   0.621    0.050
GND          M1    44.683   0.621    44.528   0.621    0.050
GND          M1    44.528   0.621    44.373   0.621    0.050
VDD          M1    3.413    18.463   24.669   18.463   0.050
VDD          M2    24.669   18.463   24.669   22.497   0.050
VDD          M1    24.669   22.497   24.669   37.081   0.050
VDD          M1    3.413    18.463   31.651   18.463   0.050
VDD          M2    31.651   18.463   31.651   17.687   0.050
VDD          M1    31.651   17.687   31.651   0.310    0.050
8            M2    3.413    24.979   3.413    37.701   0.050
8            M2    3.413    37.701   2.017    37.701   0.050
8            M2    2.017    37.701   0.465    37.701   0.050
8            M1    3.413    24.979   10.860   24.979   0.050
8            M2    10.860   24.979   10.860   -0.155   0.050
8            M1    10.860   -0.155   5.430    -0.155   0.050
8            M2    5.430    -0.155   5.430    0.000    0.050
9            M3    24.669   43.752   44.683   43.752   0.050
9            M3    44.683   43.752   44.683   0.621    0.050
9            M3    44.683   0.621    44.528   0.621    0.050
12           M3    5.430    6.361    5.430    6.516    0.050
12           M3    5.430    6.516    31.651   6.516    0.050
12           M3    31.651   6.516    31.651   0.310    0.050
