# net         layer  x1       y1       x2       y2       width

VDD          M1    34.678   0.000    14.862   0.000    0.050
VDD          M1    14.862   0.000    14.862   3.129    0.050
VDD          M1    21.771   0.000    14.862   0.000    0.050
VDD          M1    14.862   0.000    14.862   3.129    0.050
VDD          M1    15.123   12.776   14.992   12.776   0.050
VDD          M1    14.992   12.776   14.862   12.776   0.050
VDD          M1    14.862   12.776   14.862   3.129    0.050
GND          M1    7.040    12.906   6.779    12.906   0.050
GND          M1    6.779    12.906   0.391    12.906   0.050
8            M1    34.678   6.649    19.034   6.649    0.050
8            M1    19.034   6.649    19.034   6.779    0.050
8            M2    7.040    12.906   7.301    12.906   0.050
8            M2    7.301    12.906   9.908    12.906   0.050
8            M1    5.345    0.000    5.345    -0.130   0.050
8            M1    5.345    -0.130   10.820   -0.130   0.050
8            M1    10.820   -0.130   10.820   12.906   0.050
8            M1    10.820   12.906   9.908    12.906   0.050
9            M2    21.771   6.649    0.521    6.649    0.050
9            M2    0.521    6.649    0.521    12.906   0.050
9            M2    0.521    12.906   0.391    12.906   0.050
12           M3    5.345    6.258    5.345    6.388    0.050
12           M3    5.345    6.388    5.345    9.647    0.050
12           M3    5.345    9.647    14.992   9.647    0.050
12           M3    14.992   9.647    14.992   12.776   0.050
12           M3    14.992   12.776   15.123   12.776   0.050
