# net         layer  x1       y1       x2       y2       width

VDD          M1    37.410   0.822    16.581   0.822    0.050
VDD          M1    18.088   14.526   18.088   0.822    0.050
GND          M1    8.770    14.663   1.096    14.663   0.050
8            M1    37.410   7.400    37.410   14.663   0.050
8            M1    37.410   14.663   8.907    14.663   0.050
8            M1    6.167    0.822    6.167    0.685    0.050
8            M1    6.167    0.685    11.648   0.685    0.050
8            M1    11.648   0.685    11.648   14.663   0.050
9            M2    23.570   7.400    1.233    7.400    0.050
9            M2    1.233    7.400    1.233    14.663   0.050
12           M1    6.167    7.126    6.167    14.389   0.050
12           M2    6.167    14.389   18.088   14.389   0.050
