# net         layer  x1       y1       x2       y2       width

VDD          M1    35.000   0.000    32.000   0.000    1.000
VDD          M1    3.000    0.000    3.000    -1.000   1.000
VDD          M1    3.000    -1.000   35.000   -1.000   1.000
VDD          M1    35.000   -1.000   35.000   0.000    1.000
VDD          M1    63.000   0.000    63.000   -1.000   1.000
VDD          M1    63.000   -1.000   35.000   -1.000   1.000
VDD          M1    35.000   -1.000   35.000   0.000    1.000
GND          M1    56.000   1.000    47.000   1.000    0.050
8            M1    35.000   7.000    57.000   7.000    1.000
8            M1    57.000   7.000    57.000   3.000    1.000
8            M2    56.000   1.000    56.000   3.000    1.000
8            M2    56.000   3.000    57.000   3.000    1.000
8            M2    19.000   0.000    19.000   -1.000   1.000
8            M2    19.000   -1.000   57.000   -1.000   1.000
8            M2    57.000   -1.000   57.000   3.000    1.000
9            M2    3.000    7.000    47.000   7.000    0.050
9            M2    47.000   7.000    47.000   5.000    0.050
9            M2    47.000   5.000    47.000   1.000    0.050
12           M3    19.000   6.000    19.000   7.000    0.050
12           M3    19.000   7.000    63.000   7.000    0.050
12           M3    63.000   7.000    63.000   0.000    0.050
