# net         layer  x1       y1       x2       y2       width

OUT          M1    32.000   0.000    32.000   -1.000   1.000
OUT          M1    32.000   -1.000   14.000   -1.000   1.000
OUT          M1    14.000   -1.000   61.000   -1.000   1.000
OUT          M1    61.000   -1.000   61.000   0.000    1.000
OUT          M1    14.000   7.000    14.000   -1.000   1.000
OUT          M1    14.000   -1.000   -11.000  -1.000   1.000
OUT          M1    -11.000  -1.000   -11.000  7.000    1.000
OUT          M1    -11.000  7.000    -10.000  7.000    1.000
OUT          M1    32.000   -1.000   41.000   -1.000   1.000
OUT          M1    41.000   -1.000   61.000   -1.000   1.000
OUT          M1    41.000   5.000    41.000   -1.000   1.000
OUT          M1    41.000   -1.000   -11.000  -1.000   1.000
OUT          M1    32.000   -1.000   70.000   -1.000   1.000
OUT          M1    70.000   -1.000   61.000   -1.000   1.000
OUT          M1    70.000   5.000    70.000   -1.000   1.000
OUT          M1    70.000   -1.000   -11.000  -1.000   1.000
24           M1    32.000   10.000   32.000   12.000   1.000
24           M1    32.000   12.000   61.000   12.000   1.000
24           M1    61.000   12.000   61.000   10.000   1.000
24           M1    10.000   12.000   10.000   7.000    1.000
24           M1    10.000   7.000    0.000    7.000    1.000
24           M1    32.000   10.000   32.000   14.000   1.000
24           M1    32.000   14.000   61.000   14.000   1.000
24           M1    61.000   14.000   61.000   10.000   1.000
24           M1    32.000   14.000   1.000    14.000   1.000
24           M1    1.000    14.000   1.000    7.000    1.000
24           M1    1.000    7.000    0.000    7.000    1.000
