# net         layer  x1       y1       x2       y2       width

OUT            M4     40.990   18.445   55.940   18.445   0.110
OUT            M4     40.990   18.640   71.990   18.640   0.500
OUT            M4     40.990   18.835   55.940   18.835   0.110
OUT            M4     41.015   18.780   41.015   28.990   0.050
OUT            M4     41.115   8.290    41.115   18.390   0.050
OUT            M4     41.215   8.290    41.215   28.990   0.050
OUT            M4     41.415   18.890   41.415   28.990   0.050
OUT            M4     41.515   8.290    41.515   18.390   0.050
OUT            M4     41.615   18.890   41.615   28.990   0.050
OUT            M4     41.715   8.290    41.715   18.390   0.050
OUT            M4     41.815   18.890   41.815   28.990   0.050
OUT            M4     41.915   8.290    41.915   18.390   0.050
OUT            M4     42.015   18.890   42.015   28.990   0.050
OUT            M4     42.115   8.290    42.115   18.390   0.050
OUT            M4     42.215   8.290    42.215   28.990   0.050
OUT            M4     42.415   18.890   42.415   28.990   0.050
OUT            M4     42.515   8.290    42.515   18.390   0.050
OUT            M4     42.615   18.890   42.615   28.990   0.050
OUT            M4     42.715   8.290    42.715   18.390   0.050
OUT            M4     42.815   18.890   42.815   28.990   0.050
OUT            M4     42.915   8.290    42.915   18.390   0.050
OUT            M4     43.015   18.890   43.015   28.990   0.050
OUT            M4     43.115   8.290    43.115   18.390   0.050
OUT            M4     43.215   8.290    43.215   28.990   0.050
OUT            M4     43.415   18.890   43.415   28.990   0.050
OUT            M4     43.515   8.290    43.515   18.390   0.050
OUT            M4     43.615   18.890   43.615   28.990   0.050
OUT            M4     43.715   8.290    43.715   18.390   0.050
OUT            M4     43.815   18.890   43.815   28.990   0.050
OUT            M4     43.915   8.290    43.915   18.390   0.050
OUT            M4     44.015   18.890   44.015   28.990   0.050
OUT            M4     44.115   8.290    44.115   18.390   0.050
OUT            M4     44.215   8.290    44.215   28.990   0.050
OUT            M4     44.415   18.890   44.415   28.990   0.050
OUT            M4     44.515   8.290    44.515   18.390   0.050
OUT            M4     44.615   18.890   44.615   28.990   0.050
OUT            M4     44.715   8.290    44.715   18.390   0.050
OUT            M4     44.815   18.890   44.815   28.990   0.050
OUT            M4     44.915   8.290    44.915   18.390   0.050
OUT            M4     45.015   18.890   45.015   28.990   0.050
OUT            M4     45.115   8.290    45.115   18.390   0.050
OUT            M4     45.215   8.290    45.215   28.990   0.050
OUT            M4     45.415   18.890   45.415   28.990   0.050
OUT            M4     45.515   8.290    45.515   18.390   0.050
OUT            M4     45.615   18.890   45.615   28.990   0.050
OUT            M4     45.715   8.290    45.715   18.390   0.050
OUT            M4     45.815   18.890   45.815   28.990   0.050
OUT            M4     45.915   8.290    45.915   18.390   0.050
OUT            M4     46.015   18.890   46.015   28.990   0.050
OUT            M4     46.115   8.290    46.115   18.390   0.050
OUT            M4     46.215   8.290    46.215   28.990   0.050
OUT            M4     46.415   18.890   46.415   28.990   0.050
OUT            M4     46.515   8.290    46.515   18.390   0.050
OUT            M4     46.615   18.890   46.615   28.990   0.050
OUT            M4     46.715   8.290    46.715   18.390   0.050
OUT            M4     46.815   18.890   46.815   28.990   0.050
OUT            M4     46.915   8.290    46.915   18.390   0.050
OUT            M4     47.015   18.890   47.015   28.990   0.050
OUT            M4     47.115   8.290    47.115   18.390   0.050
OUT            M4     47.215   8.290    47.215   28.990   0.050
OUT            M4     47.415   18.890   47.415   28.990   0.050
OUT            M4     47.515   8.290    47.515   18.390   0.050
OUT            M4     47.615   18.890   47.615   28.990   0.050
OUT            M4     47.715   8.290    47.715   18.390   0.050
OUT            M4     47.815   18.890   47.815   28.990   0.050
OUT            M4     47.915   8.290    47.915   18.390   0.050
OUT            M4     48.015   18.890   48.015   28.990   0.050
OUT            M4     48.115   8.290    48.115   18.390   0.050
OUT            M4     48.215   8.290    48.215   28.990   0.050
OUT            M4     48.415   18.890   48.415   28.990   0.050
OUT            M4     48.515   8.290    48.515   18.390   0.050
OUT            M4     48.615   18.890   48.615   28.990   0.050
OUT            M4     48.715   8.290    48.715   18.390   0.050
OUT            M4     48.815   18.890   48.815   28.990   0.050
OUT            M4     48.915   8.290    48.915   18.390   0.050
OUT            M4     49.015   18.890   49.015   28.990   0.050
