# net         layer  x1       y1       x2       y2       width

AVDD         M1    0.550    1.200    0.950    1.200    0.050
AVDD         M1    0.950    1.200    7.350    1.200    0.050
AVDD         M1    7.350    1.200    8.300    1.200    0.050
AVDD         M1    8.300    1.200    8.300    1.150    0.050
VBP          M2    0.700    1.200    0.950    1.200    0.050
VBP          M2    0.950    1.200    7.350    1.200    0.050
VBP          M2    7.350    1.200    7.800    1.200    0.050
VREF150      M3    0.850    1.200    0.950    1.200    0.050
VREF150      M3    0.950    1.200    6.900    1.200    0.050
VREF150      M3    6.900    1.200    6.900    2.200    0.050
VREF150      M3    6.900    2.200    9.300    2.200    0.050
VREF150      M3    9.300    2.200    9.300    1.150    0.050
VREF150      M3    9.300    1.150    9.200    1.150    0.050
