# net         layer  x1       y1       x2       y2       width

AVDD           M1     49.390   46.650   63.480   46.650   0.500
AVDD           M1     49.900   50.355   49.900   46.800   0.500
AVDD           M1     50.380   46.540   50.380   47.300   0.240
AVDD           M1     50.450   46.850   50.450   49.905   0.500
AVDD           M1     50.450   49.905   56.490   49.905   0.500
AVDD           M1     51.040   46.850   51.040   49.345   0.500
AVDD           M1     51.040   47.345   51.040   49.345   0.050
AVDD           M1     51.115   49.455   52.805   49.455   0.100
AVDD           M1     52.880   46.850   52.880   49.345   0.500
AVDD           M1     52.880   47.345   52.880   49.345   0.050
AVDD           M1     50.450   46.850   59.510   46.850   0.500
AVDD           M1     53.470   46.850   53.470   49.905   0.500
AVDD           M1     54.060   46.850   54.060   49.345   0.500
AVDD           M1     54.060   47.345   54.060   49.345   0.050
AVDD           M1     54.135   49.455   55.825   49.455   0.100
AVDD           M1     55.900   46.850   55.900   49.345   0.500
AVDD           M1     55.900   47.345   55.900   49.345   0.050
AVDD           M1     56.490   46.850   56.490   49.905   0.500
AVDD           M1     56.490   49.905   62.530   49.905   0.500
AVDD           M1     57.080   46.850   57.080   49.345   0.500
AVDD           M1     57.080   47.345   57.080   49.345   0.050
AVDD           M1     57.155   49.455   58.845   49.455   0.100
AVDD           M1     58.920   46.850   58.920   49.345   0.500
AVDD           M1     58.920   47.345   58.920   49.345   0.050
AVDD           M1     59.510   46.850   62.530   46.850   0.500
AVDD           M1     59.510   46.850   59.510   49.905   0.500
AVDD           M1     60.100   46.850   60.100   49.345   0.500
AVDD           M1     60.100   47.345   60.100   49.345   0.050
AVDD           M1     60.175   49.455   61.865   49.455   0.100
AVDD           M1     61.940   46.850   61.940   49.345   0.500
AVDD           M1     61.940   47.345   61.940   49.345   0.050
AVDD           M1     62.530   46.850   62.530   49.905   0.500
AVDD           M1     62.600   46.540   62.600   47.300   0.240
AVDD           M1     62.980   46.800   62.980   50.355   0.500
AVDD           M1     62.980   50.355   49.900   50.355   0.500
VBP            M2     51.115   49.480   61.865   49.480   0.150
VBP            M2     51.960   46.850   51.960   49.205   0.500
VBP            M2     51.960   47.435   51.960   49.115   0.050
VBP            M2     53.370   51.310   53.370   49.555   0.500
VBP            M2     54.980   46.850   54.980   49.205   0.500
VBP            M2     54.980   47.435   54.980   49.115   0.050
VBP            M2     58.000   46.850   58.000   49.205   0.500
VBP            M2     58.000   47.435   58.000   49.115   0.050
VBP            M2     60.760   45.710   60.760   46.080   0.240
VBP            M2     60.760   46.925   60.760   45.710   0.500
VBP            M2     61.020   46.850   61.020   49.205   0.500
VBP            M2     61.020   46.925   51.935   46.925   0.500
VBP            M2     61.020   47.435   61.020   49.115   0.050
VREF150        M2     32.620   7.315    32.620   9.795    0.500
VREF150        M2     32.640   9.425    32.640   9.795    0.110
VREF150        M2     40.990   7.940    71.990   7.940    0.500
VREF150        M2     40.990   8.135    55.940   8.135    0.110
VREF150        M2     40.990   29.145   55.940   29.145   0.110
VREF150        M2     40.990   29.340   71.990   29.340   0.500
VREF150        M2     41.015   8.080    41.015   18.290   0.050
VREF150        M2     41.115   18.990   41.115   29.090   0.050
VREF150        M2     41.215   8.190    41.215   18.290   0.050
VREF150        M2     41.315   18.990   41.315   29.090   0.050
VREF150        M2     41.415   8.190    41.415   18.290   0.050
VREF150        M2     41.515   18.990   41.515   29.090   0.050
VREF150        M2     41.615   8.190    41.615   18.290   0.050
VREF150        M2     41.715   8.190    41.715   29.090   0.050
VREF150        M2     41.915   18.990   41.915   29.090   0.050
VREF150        M2     42.015   8.190    42.015   18.290   0.050
VREF150        M2     42.115   18.990   42.115   29.090   0.050
VREF150        M2     42.215   8.190    42.215   18.290   0.050
VREF150        M2     42.315   18.990   42.315   29.090   0.050
VREF150        M2     42.415   8.190    42.415   18.290   0.050
VREF150        M2     42.515   18.990   42.515   29.090   0.050
VREF150        M2     42.615   8.190    42.615   18.290   0.050
VREF150        M2     42.715   8.190    42.715   29.090   0.050
VREF150        M2     42.915   18.990   42.915   29.090   0.050
VREF150        M2     43.015   8.190    43.015   18.290   0.050
VREF150        M2     43.115   18.990   43.115   29.090   0.050
VREF150        M2     43.215   8.190    43.215   18.290   0.050
VREF150        M2     43.315   18.990   43.315   29.090   0.050
VREF150        M2     43.415   8.190    43.415   18.290   0.050
VREF150        M2     43.515   18.990   43.515   29.090   0.050
VREF150        M2     43.615   8.190    43.615   18.290   0.050
VREF150        M2     43.715   8.190    43.715   29.090   0.050
VREF150        M2     43.915   18.990   43.915   29.090   0.050
VREF150        M2     44.015   8.190    44.015   18.290   0.050
VREF150        M2     44.115   18.990   44.115   29.090   0.050
VREF150        M2     44.215   8.190    44.215   18.290   0.050
VREF150        M2     44.315   18.990   44.315   29.090   0.050
VREF150        M2     44.415   8.190    44.415   18.290   0.050
VREF150        M2     44.515   18.990   44.515   29.090   0.050
VREF150        M2     44.615   8.190    44.615   18.290   0.050
VREF150        M2     44.715   8.190    44.715   29.090   0.050
VREF150        M2     44.915   18.990   44.915   29.090   0.050
VREF150        M2     45.015   8.190    45.015   18.290   0.050
VREF150        M2     45.115   18.990   45.115   29.090   0.050
VREF150        M2     45.215   8.190    45.215   18.290   0.050
VREF150        M2     45.315   18.990   45.315   29.090   0.050
VREF150        M2     45.415   8.190    45.415   18.290   0.050
VREF150        M2     45.515   18.990   45.515   29.090   0.050
VREF150        M2     45.615   8.190    45.615   18.290   0.050
VREF150        M2     45.715   8.190    45.715   29.090   0.050
VREF150        M2     45.915   18.990   45.915   29.090   0.050
VREF150        M2     46.015   8.190    46.015   18.290   0.050
VREF150        M2     46.115   18.990   46.115   29.090   0.050
VREF150        M2     46.215   8.190    46.215   18.290   0.050
VREF150        M2     46.315   18.990   46.315   29.090   0.050
VREF150        M2     46.415   8.190    46.415   18.290   0.050
VREF150        M2     46.515   18.990   46.515   29.090   0.050
VREF150        M2     46.615   8.190    46.615   18.290   0.050
VREF150        M2     46.715   8.190    46.715   29.090   0.050
VREF150        M2     46.915   18.990   46.915   29.090   0.050
VREF150        M2     47.015   8.190    47.015   18.290   0.050
VREF150        M2     47.115   18.990   47.115   29.090   0.050
VREF150        M2     47.215   8.190    47.215   18.290   0.050
VREF150        M2     47.315   18.990   47.315   29.090   0.050
VREF150        M2     47.415   8.190    47.415   18.290   0.050
VREF150        M2     47.515   18.990   47.515   29.090   0.050
VREF150        M2     47.615   8.190    47.615   18.290   0.050
VREF150        M2     47.715   8.190    47.715   29.090   0.050
VREF150        M2     47.915   18.990   47.915   29.090   0.050
VREF150        M2     48.015   8.190    48.015   18.290   0.050
VREF150        M2     48.115   18.990   48.115   29.090   0.050
VREF150        M2     48.215   8.190    48.215   18.290   0.050
VREF150        M2     48.315   18.990   48.315   29.090   0.050
VREF150        M2     48.415   8.190    48.415   18.290   0.050
VREF150        M2     48.515   18.990   48.515   29.090   0.050
VREF150        M2     48.615   8.190    48.615   18.290   0.050
VREF150        M2     48.715   8.190    48.715   29.090   0.050
VREF150        M2     48.915   18.990   48.915   29.090   0.050
VREF150        M2     49.015   8.190    49.015   18.290   0.050
VREF150        M2     49.115   18.990   49.115   29.090   0.050
VREF150        M2     49.215   8.190    49.215   18.290   0.050
VREF150        M2     49.315   18.990   49.315   29.090   0.050
VREF150        M2     49.415   8.190    49.415   18.290   0.050
VREF150        M2     49.515   18.990   49.515   29.090   0.050
VREF150        M2     49.615   8.190    49.615   18.290   0.050
VREF150        M2     49.715   8.190    49.715   29.090   0.050
VREF150        M2     49.915   18.990   49.915   29.090   0.050
VREF150        M2     50.015   8.190    50.015   18.290   0.050
VREF150        M2     50.115   18.990   50.115   29.090   0.050
VREF150        M2     50.215   8.190    50.215   18.290   0.050
VREF150        M2     50.315   18.990   50.315   29.090   0.050
VREF150        M2     50.315   39.025   62.665   39.025   0.500
VREF150        M2     50.320   39.050   52.400   39.050   0.070
VREF150        M2     50.415   8.190    50.415   18.290   0.050
VREF150        M2     50.515   18.990   50.515   29.090   0.050
VREF150        M2     50.615   8.190    50.615   18.290   0.050
VREF150        M2     50.715   8.190    50.715   29.090   0.050
VREF150        M2     50.915   18.990   50.915   29.090   0.050
VREF150        M2     51.015   8.190    51.015   18.290   0.050
VREF150        M2     51.115   18.990   51.115   29.090   0.050
VREF150        M2     51.215   8.190    51.215   18.290   0.050
VREF150        M2     51.315   18.990   51.315   29.090   0.050
VREF150        M2     51.415   8.190    51.415   18.290   0.050
VREF150        M2     51.515   18.990   51.515   29.090   0.050
VREF150        M2     51.615   8.190    51.615   18.290   0.050
VREF150        M2     51.715   8.190    51.715   29.090   0.050
VREF150        M2     51.915   18.990   51.915   29.090   0.050
VREF150        M2     52.015   8.190    52.015   18.290   0.050
VREF150        M2     52.115   18.990   52.115   29.090   0.050
VREF150        M2     52.215   8.190    52.215   18.290   0.050
VREF150        M2     52.315   18.990   52.315   29.090   0.050
VREF150        M2     52.415   8.190    52.415   18.290   0.050
VREF150        M2     52.515   18.990   52.515   29.090   0.050
VREF150        M2     52.615   8.190    52.615   18.290   0.050
VREF150        M2     52.715   8.190    52.715   29.090   0.050
VREF150        M2     52.915   18.990   52.915   29.090   0.050
VREF150        M2     53.015   8.190    53.015   18.290   0.050
VREF150        M2     53.115   18.990   53.115   29.090   0.050
