# IO/input/pins.txt
# 每个 pin 在器件上的相对坐标（相对器件 BB 左下角）和所在金属层。
# module.pin 组合全局唯一。layer = M1~M7。
#
# module      pin      x        y        layer

M1            D        2.000    1.500    M2
M1            G        0.800    1.500    M1
M1            S        2.000    0.000    M1
M1            B        3.200    0.000    M1
M2            D        2.000    1.500    M2
M2            G        0.800    1.500    M1
M2            S        2.000    0.000    M1
M2            B        3.200    0.000    M1
M3            D        2.000    1.500    M2
M3            G        0.800    1.500    M1
M3            S        2.000    0.000    M1
M3            B        3.200    0.000    M1
M4            D        2.000    1.500    M2
M4            G        0.800    1.500    M1
M4            S        2.000    0.000    M1
M4            B        3.200    0.000    M1
M5            D        2.000    1.500    M2
M5            G        0.800    1.500    M1
M5            S        2.000    0.000    M1
M5            B        3.200    0.000    M1
C0            PLUS     14.375   10.365   M1
C0            MINUS    14.375   0.055    M1
R0            PLUS     5.370    28.630   M1
R0            MINUS    5.370    0.530    M1
