# net         layer  x1       y1       x2       y2       width

OUT          M1    53.000   7.000    46.000   7.000    0.050
OUT          M1    46.000   7.000    46.000   13.000   0.050
OUT          M1    46.000   13.000   46.000   0.000    0.050
OUT          M1    46.000   0.000    36.000   0.000    0.050
OUT          M1    46.000   13.000   7.000    13.000   0.050
OUT          M1    7.000    13.000   7.000    10.000   0.050
24           M1    43.000   7.000    24.000   7.000    0.050
24           M1    24.000   7.000    24.000   5.000    0.050
24           M1    24.000   5.000    36.000   5.000    0.050
24           M1    36.000   5.000    36.000   10.000   0.050
24           M1    24.000   5.000    7.000    5.000    0.050
24           M1    7.000    5.000    7.000    0.000    0.050
