# net         layer  x1       y1       x2       y2       width

OUT          M1    49.000   7.000    41.000   7.000    0.050
OUT          M1    41.000   7.000    41.000   13.000   0.050
OUT          M1    41.000   13.000   7.000    13.000   0.050
OUT          M1    7.000    13.000   7.000    0.000    0.050
OUT          M1    41.000   13.000   30.000   13.000   0.050
OUT          M1    30.000   13.000   30.000   10.000   0.050
24           M1    39.000   7.000    18.000   7.000    0.050
24           M1    18.000   7.000    18.000   5.000    0.050
24           M2    18.000   5.000    18.000   10.000   0.050
24           M2    18.000   10.000   7.000    10.000   0.050
24           M1    18.000   5.000    18.000   0.000    0.050
24           M1    18.000   0.000    30.000   0.000    0.050
