# net         layer  x1       y1       x2       y2       width

AVDD         M1    0.550    1.200    0.600    1.200    0.050
AVDD         M2    0.600    1.200    6.650    1.200    0.050
AVDD         M1    6.650    1.200    6.650    0.150    0.050
AVDD         M2    6.650    0.150    8.000    0.150    0.050
AVDD         M1    8.000    0.150    8.000    1.150    0.050
VBP          M3    0.700    1.200    6.900    1.200    0.050
VBP          M3    6.900    1.200    6.900    0.150    0.050
VBP          M3    6.900    0.150    7.950    0.150    0.050
VBP          M3    7.950    0.150    7.950    0.700    0.050
VREF150      M4    0.850    1.200    6.900    1.200    0.050
VREF150      M4    6.900    1.200    6.900    2.150    0.050
VREF150      M4    6.900    2.150    8.000    2.150    0.050
VREF150      M4    8.000    2.150    8.000    2.050    0.050
