# net         layer  x1       y1       x2       y2       width

VDD          M1    3.000    2.000    0.000    2.000    5.000
VDD          M1    0.000    2.000    0.000    11.000   5.000
GND          M1    20.000   11.000   32.000   11.000   5.000
GND          M1    32.000   11.000   32.000   9.000    5.000
GND          M1    20.000   11.000   46.630   11.000   5.000
GND          M1    46.630   11.000   46.630   13.370   5.000
OUT          M2    1.500    2.000    18.500   2.000    1.000
OUT          M2    18.500   2.000    18.500   11.000   1.000
TAIL         M1    20.000   11.000   32.000   11.000   1.000
TAIL         M1    32.000   11.000   32.000   9.000    1.000
TAIL         M2    20.000   11.000   20.000   1.500    1.000
BIAS         M1    1.500    0.800    1.500    12.200   1.000
BIAS         M1    1.500    0.800    21.200   0.800    1.000
BIAS         M1    21.200   0.800    21.200   1.500    1.000
