# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            30.930      27.460      0      MY
XR10           47.855      27.460      0      MY
XR13           64.780      27.460      0      R0
XR14           81.705      27.460      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           34.640      44.170      0      MY
XR27           64.780      44.170      0      R0
XR30           4.500       44.170      0      MY
XR32           94.920      44.170      0      R0
MM33           36.810      18.870      0      R0
MM34           26.260      18.870      0      MY
