# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       0      MY
XR10           72.870      2.500       0      MY
XR13           89.795      2.500       0      R0
XR14           58.945      2.500       0      R0
MP23           116.770     2.500       0      R0
MP24           106.220     2.500       0      MY
XR26           3.500       15.920      0      MY
XR27           33.640      15.920      0      R0
XR30           62.280      15.920      0      MY
XR32           92.420      15.920      0      R0
MM33           132.610     15.920      0      R0
MM34           122.060     15.920      0      MY
